Randvoorwaardendatabase;Locatie;X-coördinaat;Y-coördinaat;Profiel;Klimaatscenario;Type Berekening;Overslagdebiet [l/s/m]/Type bekleding;Waterstandsniveau [m+NAP];Terugkeertijd [jaar];Belastingniveau [m+NAP]/Golfparameter [m]/[s]/Sterkte bekleding [-];Golfhoogte [m];Piekperiode [s];Golfrichting [°];Golfinval [°]
WBI2017_Waddenzee_West_13-4_v03.sqlite;WZ_1_13-4_dk_00018;111752;553252;-;WBI2017;Waterstand;-;-;10;2,759;-;-;-;-
WBI2017_Waddenzee_West_13-4_v03.sqlite;WZ_1_13-4_dk_00018;111752;553252;-;WBI2017;Waterstand;-;-;50;3,210;-;-;-;-
WBI2017_Waddenzee_West_13-4_v03.sqlite;WZ_1_13-4_dk_00018;111752;553252;-;WBI2017;Waterstand;-;-;100;3,392;-;-;-;-
WBI2017_Waddenzee_West_13-4_v03.sqlite;WZ_1_13-4_dk_00018;111752;553252;-;WBI2017;Waterstand;-;-;300;3,672;-;-;-;-
WBI2017_Waddenzee_West_13-4_v03.sqlite;WZ_1_13-4_dk_00018;111752;553252;-;WBI2017;Waterstand;-;-;1000;3,968;-;-;-;-
WBI2017_Waddenzee_West_13-4_v03.sqlite;WZ_1_13-4_dk_00018;111752;553252;-;WBI2017;Waterstand;-;-;3000;4,232;-;-;-;-
WBI2017_Waddenzee_West_13-4_v03.sqlite;WZ_1_13-4_dk_00018;111752;553252;-;WBI2017;Waterstand;-;-;10000;4,518;-;-;-;-
WBI2017_Waddenzee_West_13-4_v03.sqlite;WZ_1_13-4_dk_00018;111752;553252;-;WBI2017;Waterstand;-;-;30000;4,776;-;-;-;-
WBI2017_Waddenzee_West_13-4_v03.sqlite;WZ_1_13-4_dk_00018;111752;553252;-;WBI2017;Waterstand;-;-; 1,00E+05;5,061;-;-;-;-
WBI2017_Waddenzee_West_13-4_v03.sqlite;WZ_1_13-4_dk_00018;111752;553252;-;WBI2017;Waterstand;-;-; 1,00E+06;5,601;-;-;-;-
