Randvoorwaardendatabase;Locatie;X-coördinaat;Y-coördinaat;Profiel;Klimaatscenario;Type Berekening;Overslagdebiet [l/s/m]/Type bekleding;Waterstandsniveau [m+NAP];Terugkeertijd [jaar];Belastingniveau [m+NAP]/Golfparameter [m]/[s]/Sterkte bekleding [-];Golfhoogte [m];Piekperiode [s];Golfrichting [°];Golfinval [°]
WBI2017_Hollandse_Kust_Zuid_14-5_14-6_14-8_211_214_218_25-1_v04.sqlite;HK_3_14-6_hd03_00008;77275;457968;-;WBI2017;Waterstand;-;-;10;3,010;-;-;-;-
WBI2017_Hollandse_Kust_Zuid_14-5_14-6_14-8_211_214_218_25-1_v04.sqlite;HK_3_14-6_hd03_00008;77275;457968;-;WBI2017;Waterstand;-;-;50;3,475;-;-;-;-
WBI2017_Hollandse_Kust_Zuid_14-5_14-6_14-8_211_214_218_25-1_v04.sqlite;HK_3_14-6_hd03_00008;77275;457968;-;WBI2017;Waterstand;-;-;100;3,685;-;-;-;-
WBI2017_Hollandse_Kust_Zuid_14-5_14-6_14-8_211_214_218_25-1_v04.sqlite;HK_3_14-6_hd03_00008;77275;457968;-;WBI2017;Waterstand;-;-;300;4,035;-;-;-;-
WBI2017_Hollandse_Kust_Zuid_14-5_14-6_14-8_211_214_218_25-1_v04.sqlite;HK_3_14-6_hd03_00008;77275;457968;-;WBI2017;Waterstand;-;-;1000;4,437;-;-;-;-
WBI2017_Hollandse_Kust_Zuid_14-5_14-6_14-8_211_214_218_25-1_v04.sqlite;HK_3_14-6_hd03_00008;77275;457968;-;WBI2017;Waterstand;-;-;3000;4,827;-;-;-;-
WBI2017_Hollandse_Kust_Zuid_14-5_14-6_14-8_211_214_218_25-1_v04.sqlite;HK_3_14-6_hd03_00008;77275;457968;-;WBI2017;Waterstand;-;-;10000;5,274;-;-;-;-
WBI2017_Hollandse_Kust_Zuid_14-5_14-6_14-8_211_214_218_25-1_v04.sqlite;HK_3_14-6_hd03_00008;77275;457968;-;WBI2017;Waterstand;-;-;30000;5,700;-;-;-;-
WBI2017_Hollandse_Kust_Zuid_14-5_14-6_14-8_211_214_218_25-1_v04.sqlite;HK_3_14-6_hd03_00008;77275;457968;-;WBI2017;Waterstand;-;-; 1,00E+05;6,170;-;-;-;-
WBI2017_Hollandse_Kust_Zuid_14-5_14-6_14-8_211_214_218_25-1_v04.sqlite;HK_3_14-6_hd03_00008;77275;457968;-;WBI2017;Waterstand;-;-; 1,00E+06;6,861;-;-;-;-
